id,type,invented,resolution,wikipedia,applications,keyAdvancements,inventorDeveloper
Optical Microscope,Optical,1590,200,https://en.wikipedia.org/wiki/Optical_microscope,General biological and medical microscopy,Improved lens quality and microscope design for better image clarity and detail.,Zacharias Janssen (attributed)
Electron Microscope,Electron,1931,0,https://en.wikipedia.org/wiki/Electron_microscope,"Cellular biology, materials science, virology","Enhanced magnification and resolution, allowing visualization of structures at the atomic level.",Ernst Ruska and Max Knoll
Scanning Tunneling Microscope,Scanning Probe,1981,0,https://en.wikipedia.org/wiki/Scanning_tunneling_microscope,"Surface science, nanotechnology",Ability to image surfaces at the atomic level.,Gerd Binnig and Heinrich Rohrer
Confocal Microscope,Optical,1957,200,https://en.wikipedia.org/wiki/Confocal_microscopy,3D imaging of biological samples,Provides optical sectioning capability to observe multiple layers within specimens.,Marvin Minsky
Atomic Force Microscope,Scanning Probe,1986,0,https://en.wikipedia.org/wiki/Atomic_force_microscopy,"Nanotechnology, surface engineering","Can image non-conductive materials, providing a three-dimensional surface profile.","Gerd Binnig, Calvin Quate, Christoph Gerber"
Fluorescence Microscope,Optical,1911,200,https://en.wikipedia.org/wiki/Fluorescence_microscope,"Biological sciences, medical diagnostics",Uses fluorescence and phosphorescence to study properties of organic or inorganic substances.,Oskar Heimstädt
Phase Contrast Microscope,Optical,1934,200,https://en.wikipedia.org/wiki/Phase_contrast_microscopy,Live cell imaging without staining,Enhances contrast in transparent and colorless samples.,Frits Zernike
Transmission Electron Microscope,Electron,1933,0,https://en.wikipedia.org/wiki/Transmission_electron_microscopy,"Material science, cancer research, virology","Capable of imaging at a significantly higher resolution than light microscopes, down to the level of atomic structures.",Ernst Ruska
Scanning Electron Microscope,Electron,1942,1,https://en.wikipedia.org/wiki/Scanning_electron_microscope,"Materials research, forensic examinations, biological research","Produces high-resolution images of a sample surface, revealing detailed topography.",Manfred von Ardenne
Digital Microscope,Optical,1980,200,https://en.wikipedia.org/wiki/Digital_microscope,"Education, industrial inspection, clinical research",Integration with digital cameras and computers for enhanced imaging and analysis.,Various contributors
Stereo Microscope,Optical,1671,10000,https://en.wikipedia.org/wiki/Stereo_microscope,"Manufacturing, botany, entomology",Provides a three-dimensional viewing experience by using two separate optical paths.,Cherubin d'Orleans
X-ray Microscope,X-ray,1946,50,https://en.wikipedia.org/wiki/X-ray_microscopy,"Material sciences, paleontology",Uses X-rays to penetrate samples and create images of the internal structure.,Raymond Castaing
Cryo-Electron Microscopy,Electron,1975,0,https://en.wikipedia.org/wiki/Cryo-electron_microscopy,"Structural biology, virology","Allows imaging of samples at cryogenic temperatures, preserving native state.","Jacques Dubochet, Joachim Frank, Richard Henderson"