id	filename	wikipedia	type	applications	key_advancements	inventor_developer	invented	resolution
Optical Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Optical_microscope	Optical	General biological and medical microscopy			1590	200
Electron Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Electron_microscope	Electron	Cellular biology, materials science, virology			1931	0.2
Scanning Tunneling Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Scanning_tunneling_microscope	Scanning Probe	Surface science, nanotechnology			1981	0.1
Confocal Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Confocal_microscopy	Optical	3D imaging of biological samples			1957	200
Atomic Force Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Atomic_force_microscopy	Scanning Probe	Nanotechnology, surface engineering			1986	0.1
Fluorescence Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Fluorescence_microscope	Optical	Biological sciences, medical diagnostics			1911	200
Phase Contrast Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Phase_contrast_microscopy	Optical	Live cell imaging without staining			1934	200
Transmission Electron Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Transmission_electron_microscopy	Electron	Material science, cancer research, virology			1933	0.05
Scanning Electron Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Scanning_electron_microscope	Electron	Materials research, forensic examinations, biological research			1942	1
Digital Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Digital_microscope	Optical	Education, industrial inspection, clinical research			1980	200
Stereo Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/Stereo_microscope	Optical	Manufacturing, botany, entomology			1671	10000
X-ray Microscope	microscopes.scroll	https://en.wikipedia.org/wiki/X-ray_microscopy	X-ray	Material sciences, paleontology			1946	50
Cryo-Electron Microscopy	microscopes.scroll	https://en.wikipedia.org/wiki/Cryo-electron_microscopy	Electron	Structural biology, virology			1975	0.1